Strategic.Area,InterZone,SAChangeScore,Indicator
Glenrothes,S02001799,0.14708155738863352,Emergency Admissions
Glenrothes,S02001800,-0.6448771701875871,Emergency Admissions
Glenrothes,S02001801,-0.793206434625354,Emergency Admissions
Glenrothes,S02001802,-0.9469437820761533,Emergency Admissions
Glenrothes,S02001803,-0.6565586585556985,Emergency Admissions
Glenrothes,S02001804,1.2483894608310846,Emergency Admissions
Glenrothes,S02001805,0.08674744452270179,Emergency Admissions
Glenrothes,S02001806,-0.01499243130159594,Emergency Admissions
Glenrothes,S02001807,0.6349020018838625,Emergency Admissions
Glenrothes,S02001808,0.918844351093672,Emergency Admissions
Glenrothes,S02001809,1.0773588293417309,Emergency Admissions
Glenrothes,S02001810,-1.8122471302256253,Emergency Admissions
Glenrothes,S02001811,-0.859507532332868,Emergency Admissions
Glenrothes,S02001798,-0.1041640865558892,Out of Work Benefits
Glenrothes,S02001799,-0.4970865416392359,Out of Work Benefits
Glenrothes,S02001800,1.4466123151198707,Out of Work Benefits
Glenrothes,S02001801,-2.201213165138905,Out of Work Benefits
Glenrothes,S02001802,1.1115103042936856,Out of Work Benefits
Glenrothes,S02001803,0.6933571082678662,Out of Work Benefits
Glenrothes,S02001804,-0.6258735808703139,Out of Work Benefits
Glenrothes,S02001805,-1.268192199298544,Out of Work Benefits
Glenrothes,S02001806,-0.33128053368699917,Out of Work Benefits
Glenrothes,S02001807,0.8030608154292795,Out of Work Benefits
Glenrothes,S02001808,0.0475493618744321,Out of Work Benefits
Glenrothes,S02001809,-0.520057988580275,Out of Work Benefits
Glenrothes,S02001810,0.810318460518207,Out of Work Benefits
Glenrothes,S02001811,0.635459730266821,Out of Work Benefits
Glenrothes,S02001798,1.3418774740182582,Positive Destinations
Glenrothes,S02001799,-0.3009315938644905,Positive Destinations
Glenrothes,S02001800,-0.9942602521642745,Positive Destinations
Glenrothes,S02001801,0.79251402089559,Positive Destinations
Glenrothes,S02001802,0.05542171499281516,Positive Destinations
Glenrothes,S02001803,-0.921361895853432,Positive Destinations
Glenrothes,S02001804,-0.18858219759134529,Positive Destinations
Glenrothes,S02001805,0.6217590733226384,Positive Destinations
Glenrothes,S02001806,-1.5438395976953625,Positive Destinations
Glenrothes,S02001807,-0.017425292967165152,Positive Destinations
Glenrothes,S02001808,0.2600682221049218,Positive Destinations
Glenrothes,S02001809,-0.8961361750469303,Positive Destinations
Glenrothes,S02001810,-0.4006904758389627,Positive Destinations
Glenrothes,S02001811,2.191586975687739,Positive Destinations
Kirkcaldy,S02001780,1.79325434900163,Attainment
Kirkcaldy,S02001781,-1.071872981615904,Attainment
Kirkcaldy,S02001782,-0.796638395288728,Attainment
Kirkcaldy,S02001783,-0.130153659484758,Attainment
Kirkcaldy,S02001784,0.17500471302287102,Attainment
Kirkcaldy,S02001785,1.2682523615588472,Attainment
Kirkcaldy,S02001786,1.783923176107066,Attainment
Kirkcaldy,S02001787,0.00457859388927307,Attainment
