Strategic Area,InterZone,SAScore,Indicator
Glenrothes,S02001810,-0.46159130199090537,Emergency Admissions
Glenrothes,S02001802,-0.3113184289790537,Emergency Admissions
Glenrothes,S02001809,-1.313721179389497,Emergency Admissions
Glenrothes,S02001799,0.5095499774552298,Emergency Admissions
Glenrothes,S02001798,0.6859316134342657,Emergency Admissions
Glenrothes,S02001811,-0.30344993152154226,Emergency Admissions
Glenrothes,S02001801,0.19439700040423827,Out of Work Benefits
Glenrothes,S02001806,0.3592594068897387,Out of Work Benefits
Glenrothes,S02001800,-1.5444898480296796,Out of Work Benefits
Glenrothes,S02001803,-1.2210388245282728,Out of Work Benefits
Glenrothes,S02001808,-1.5045351803988394,Out of Work Benefits
Glenrothes,S02001805,0.5816484960049705,Out of Work Benefits
Glenrothes,S02001804,0.543090462260619,Out of Work Benefits
Glenrothes,S02001807,1.8457110762289082,Out of Work Benefits
Glenrothes,S02001810,0.44005455902400265,Out of Work Benefits
Glenrothes,S02001802,0.14296359979562814,Out of Work Benefits
Glenrothes,S02001809,-0.9740561364462043,Out of Work Benefits
Glenrothes,S02001799,-0.11332747510182327,Out of Work Benefits
Glenrothes,S02001798,0.03530917811246488,Out of Work Benefits
Glenrothes,S02001811,1.2150136857842493,Out of Work Benefits
Glenrothes,S02001801,0.8680969150732859,Positive Destinations
Glenrothes,S02001806,-0.913100633177227,Positive Destinations
Glenrothes,S02001800,-2.37731719996576,Positive Destinations
Glenrothes,S02001803,-0.6976305813556523,Positive Destinations
Glenrothes,S02001808,-0.0905438884379633,Positive Destinations
Glenrothes,S02001805,0.655878642878521,Positive Destinations
Glenrothes,S02001804,0.5341360654829698,Positive Destinations
Glenrothes,S02001807,0.34044863269006737,Positive Destinations
Glenrothes,S02001810,-0.6649578321470125,Positive Destinations
Glenrothes,S02001802,0.4410123027337769,Positive Destinations
Glenrothes,S02001809,-0.8352723703448743,Positive Destinations
Glenrothes,S02001799,0.28131943585503033,Positive Destinations
Glenrothes,S02001798,1.21230153024691,Positive Destinations
Glenrothes,S02001811,1.2456289804679335,Positive Destinations
Kirkcaldy,S02001794,0.3763510770523344,Attainment
Kirkcaldy,S02001783,-0.2951666450562656,Attainment
Kirkcaldy,S02001784,0.9744796659181345,Attainment
Kirkcaldy,S02001788,0.08746779623044139,Attainment
Kirkcaldy,S02001791,0.712682173063695,Attainment
Kirkcaldy,S02001795,-1.6780677912819042,Attainment
Kirkcaldy,S02001790,-1.4839370820996785,Attainment
Kirkcaldy,S02001793,-1.6463802805347694,Attainment
Kirkcaldy,S02001792,0.6267754001352293,Attainment
Kirkcaldy,S02001787,1.5959983586537163,Attainment
Kirkcaldy,S02001789,-1.0239078628707563,Attainment
Kirkcaldy,S02001796,-0.8613216056963997,Attainment
Kirkcaldy,S02001785,1.0809153679310877,Attainment
Kirkcaldy,S02001786,0.12375702975725957,Attainment
Kirkcaldy,S02001780,0.48767461932349804,Attainment
Kirkcaldy,S02001781,0.46068420384888836,Attainment
Kirkcaldy,S02001782,0.4619955756254807,Attainment
Kirkcaldy,S02001794,0.6608106256272005,Child Poverty
Kirkcaldy,S02001783,-0.9467823604762977,Child Poverty
Kirkcaldy,S02001784,0.2715313969712867,Child Poverty
Kirkcaldy,S02001788,0.7687938006270066,Child Poverty
Kirkcaldy,S02001791,1.5421054551627753,Child Poverty
Kirkcaldy,S02001795,-1.2685935681984106,Child Poverty
Kirkcaldy,S02001790,-1.1770144045378588,Child Poverty
Kirkcaldy,S02001793,-0.9522001326497709,Child Poverty
Kirkcaldy,S02001792,0.7125068374506455,Child Poverty
Kirkcaldy,S02001787,1.530699490585631,Child Poverty
Kirkcaldy,S02001789,-1.0546168130950406,Child Poverty
Kirkcaldy,S02001796,-0.7660403509486406,Child Poverty
Kirkcaldy,S02001785,0.20005386050405322,Child Poverty
Kirkcaldy,S02001786,-1.338159874310006,Child Poverty
Kirkcaldy,S02001780,0.545318765153399,Child Poverty
Kirkcaldy,S02001781,0.9796089799597137,Child Poverty
Kirkcaldy,S02001782,0.29197829217431504,Child Poverty
Kirkcaldy,S02001794,0.21430945411436894,Crime Rate
Kirkcaldy,S02001783,-0.5806051729754234,Crime Rate
Kirkcaldy,S02001784,-1.6741098567401091,Crime Rate
Kirkcaldy,S02001788,1.017042072262529,Crime Rate
Kirkcaldy,S02001791,1.4244039941077358,Crime Rate
Kirkcaldy,S02001795,-1.1095481196282808,Crime Rate
Kirkcaldy,S02001790,-0.9157445630639646,Crime Rate
Kirkcaldy,S02001793,-1.9767337800454496,Crime Rate
Kirkcaldy,S02001792,0.38797717747442345,Crime Rate
Kirkcaldy,S02001787,1.0280943438613244,Crime Rate
Kirkcaldy,S02001789,-0.5326817578738087,Crime Rate
Kirkcaldy,S02001796,-0.10921295965645202,Crime Rate
Kirkcaldy,S02001785,0.10380186129946604,Crime Rate
Kirkcaldy,S02001786,0.7357818827008843,Crime Rate
Kirkcaldy,S02001780,0.15482042837359997,Crime Rate
Kirkcaldy,S02001781,1.0048241406876746,Crime Rate
Kirkcaldy,S02001782,0.827580855101483,Crime Rate
Kirkcaldy,S02001794,0.3872393384906792,Depopulation
Kirkcaldy,S02001783,1.2978824895352252,Depopulation
Kirkcaldy,S02001784,0.1759876323536466,Depopulation
Kirkcaldy,S02001788,-0.9742495342907427,Depopulation
Kirkcaldy,S02001791,-1.2607677387892973,Depopulation
Kirkcaldy,S02001795,0.39938886473012175,Depopulation
Kirkcaldy,S02001790,-0.23477574872740456,Depopulation
Kirkcaldy,S02001793,0.264030861636434,Depopulation
Kirkcaldy,S02001792,2.4658688906786925,Depopulation
Kirkcaldy,S02001787,-1.040153175855625,Depopulation
Kirkcaldy,S02001789,-0.5950816932215485,Depopulation
Kirkcaldy,S02001796,-0.3728165491065351,Depopulation
Kirkcaldy,S02001785,-0.4518697163479457,Depopulation
Kirkcaldy,S02001786,-0.42503852399502834,Depopulation
Kirkcaldy,S02001780,1.5659820827366715,Depopulation
Kirkcaldy,S02001781,-0.8209201284731845,Depopulation
Kirkcaldy,S02001782,-0.3807073513541558,Depopulation
Kirkcaldy,S02001794,0.8433898998001118,Early Mortality
Kirkcaldy,S02001783,-0.7795523789546883,Early Mortality
Kirkcaldy,S02001784,0.08944735206364585,Early Mortality
Kirkcaldy,S02001788,0.9012075798412519,Early Mortality
Kirkcaldy,S02001791,1.4267702914152145,Early Mortality
Kirkcaldy,S02001795,-1.9243424437692607,Early Mortality
Kirkcaldy,S02001790,-0.17246673852271815,Early Mortality
Kirkcaldy,S02001793,-1.9544076373906536,Early Mortality
Kirkcaldy,S02001792,0.5340653115800128,Early Mortality
Kirkcaldy,S02001787,1.2747097929070164,Early Mortality
Kirkcaldy,S02001789,-0.7471744781316497,Early Mortality
Kirkcaldy,S02001796,-0.8691697830184554,Early Mortality
Kirkcaldy,S02001785,-0.2794294465988272,Early Mortality
Kirkcaldy,S02001786,0.39530287948127674,Early Mortality
Kirkcaldy,S02001780,0.04666226883320237,Early Mortality
Kirkcaldy,S02001781,0.8000266397692568,Early Mortality
Kirkcaldy,S02001782,0.4149608906952642,Early Mortality
Kirkcaldy,S02001794,0.11300001715982705,Emergency Admissions
Kirkcaldy,S02001783,0.2646488784900732,Emergency Admissions
Kirkcaldy,S02001784,-0.8570961394188148,Emergency Admissions
Kirkcaldy,S02001788,0.5737704009786047,Emergency Admissions
Kirkcaldy,S02001791,1.7556877117521035,Emergency Admissions
Kirkcaldy,S02001795,-2.124933770656771,Emergency Admissions
Kirkcaldy,S02001790,-1.1822691915513937,Emergency Admissions
Kirkcaldy,S02001793,-0.938987536733388,Emergency Admissions
Kirkcaldy,S02001792,0.32047364435450953,Emergency Admissions
Kirkcaldy,S02001787,1.4835667119800062,Emergency Admissions
Kirkcaldy,S02001789,-0.6389357238215565,Emergency Admissions
Kirkcaldy,S02001796,0.06854685027766268,Emergency Admissions
Kirkcaldy,S02001785,0.663680516145681,Emergency Admissions
Kirkcaldy,S02001786,-0.22453345622521673,Emergency Admissions
Kirkcaldy,S02001780,-0.5859596885087744,Emergency Admissions
Kirkcaldy,S02001781,0.1217110884982291,Emergency Admissions
Kirkcaldy,S02001782,1.1876296872792145,Emergency Admissions
Kirkcaldy,S02001794,0.5259209746443901,Out of Work Benefits
Kirkcaldy,S02001783,-1.1262680280469024,Out of Work Benefits
