year,la,Crime Rate,Child Poverty,Out of Work Benefits,Attainment,Positive Destinations,Emergency Admissions,Depopulation,Early Mortality
2013,Dumfries and Galloway,0.178767502,,,0.200560155,,0.127641021,-0.035401194,0.182013689
2013,Dundee City,0.248578817,,,0.326926602,,0.192646052,-0.049314898,0.23316561
2013,East Ayrshire,0.241107499,,,0.256962385,,0.230380433,-0.104891808,0.255722689
2013,East Dunbartonshire,0.332852507,,,0.334395682,,0.33280239,0.065845157,0.351478775
2013,East Lothian,0.220736359,,,0.231359258,,0.198533698,-0.017255477,0.158207473
2013,East Renfrewshire,0.370494923,,,0.398358851,,0.342226491,0.057843551,0.377129841
2013,"Edinburgh, City of",0.396515963,,,0.446704739,,0.385405792,0.061813883,0.385886279
2013,Eilean Siar,0.067134175,,,-0.001700999,,0.0387382,-0.033243757,0.006672027
2013,Falkirk,0.2483141,,,0.238460756,,0.209691342,-0.097813658,0.203958806
2013,Fife,0.332639368,,,0.33149049,,0.260054732,-0.116616233,0.369165166
2013,Glasgow City,0.207680739,,,0.260490821,,0.223037411,-0.108494988,0.227622673
2013,Highland,0.20827462,,,0.234560165,,0.186514719,-0.094890154,0.227759795
2013,Inverclyde,0.308570012,,,0.324437561,,0.313937606,-0.236209945,0.332752524
2013,Midlothian,0.259025495,,,0.267385095,,0.197285016,-0.11240513,0.227212578
2013,Moray,0.145152364,,,0.139512263,,0.096262723,-0.035668463,0.105977974
2013,North Ayrshire,0.268389953,,,0.271026278,,0.240368052,-0.10352144,0.320102658
2013,North Lanarkshire,0.186065716,,,0.211107384,,0.159123068,-0.041968429,0.187959676
2013,Orkney Islands,0.109287916,,,0.103421936,,0.18694377,-0.160893235,0.16928016
2013,Perth and Kinross,0.245568327,,,0.280987198,,0.208255724,-0.016718582,0.272670805
2013,Renfrewshire,0.296716914,,,0.341253217,,0.287456802,-0.036673535,0.336694028
2013,Scottish Borders,0.205175089,,,0.226829982,,0.147879845,-0.146645421,0.188437431
2013,Shetland Islands,0.110747479,,,0.107089955,,0.071576906,-0.075560488,0.045925001
2013,South Ayrshire,0.253040304,,,0.281605541,,0.246963478,0.014213502,0.263980142
2013,South Lanarkshire,0.229283602,,,0.24982072,,0.13848215,-0.074885647,0.24038587
2013,Stirling,0.296927379,,,0.351686877,,0.302342762,-0.086676486,0.318918207
2013,West Dunbartonshire,0.177638277,,,0.217204292,,0.125617256,-0.024510171,0.191439397
2013,West Lothian,0.216817267,,,0.258190631,,0.176952587,-0.030400607,0.206059076
2014,Aberdeen City,0.316704997,0.360176872,,0.328224364,,0.317501292,0.024693695,0.283228933
2014,Aberdeenshire,0.294246898,0.321017532,,0.286899006,,0.192792983,-0.179450466,0.283460745
2014,Angus,0.272391916,0.261147502,,0.271237682,,0.210796592,-0.017563625,0.272272688
