"CPP","Year","Indicator","Type","value"
"South Lanarkshire","2014/15","Healthy Birthweight","Raw",89.663534404365
"Stirling","2014/15","Healthy Birthweight","Raw",88.3507853403141
"Aberdeen City","2014/15","Healthy Birthweight","Raw",89.5466466841514
"Aberdeenshire","2014/15","Healthy Birthweight","Raw",89.9604743083004
"Argyll and Bute","2014/15","Healthy Birthweight","Raw",87.2146118721461
"Edinburgh, City of","2014/15","Healthy Birthweight","Raw",90.266692622153
"Renfrewshire","2014/15","Healthy Birthweight","Raw",89.3995098039216
"West Dunbartonshire","2014/15","Healthy Birthweight","Raw",86.7614879649891
"West Lothian","2014/15","Healthy Birthweight","Raw",90.1940220241217
"Angus","2014/15","Healthy Birthweight","Raw",90.0547445255474
"Dundee City","2014/15","Healthy Birthweight","Raw",88.7736424649176
"East Dunbartonshire","2014/15","Healthy Birthweight","Raw",87.9690949227373
"Fife","2014/15","Healthy Birthweight","Raw",88.280185336604
"Perth and Kinross","2014/15","Healthy Birthweight","Raw",88.2001493651979
"Glasgow City","2014/15","Healthy Birthweight","Raw",89.2994721072906
"North Lanarkshire","2014/15","Healthy Birthweight","Raw",88.6203989884799
"Clackmannanshire","2015/16","Healthy Birthweight","Raw",90.1701323251418
"Dumfries and Galloway","2015/16","Healthy Birthweight","Raw",89.6607431340872
"East Ayrshire","2015/16","Healthy Birthweight","Raw",89.9274778404512
"East Lothian","2015/16","Healthy Birthweight","Raw",89.3069306930693
"East Renfrewshire","2015/16","Healthy Birthweight","Raw",88.6390532544379
"Eilean Siar","2015/16","Healthy Birthweight","Raw",89.041095890411
"Falkirk","2015/16","Healthy Birthweight","Raw",90.1290322580645
"Highland","2015/16","Healthy Birthweight","Raw",89.5734597156398
"Inverclyde","2015/16","Healthy Birthweight","Raw",88.2265275707899
"Midlothian","2015/16","Healthy Birthweight","Raw",89.9521531100478
"Moray","2015/16","Healthy Birthweight","Raw",87.6756756756757
"North Ayrshire","2015/16","Healthy Birthweight","Raw",89.0082644628099
"Orkney Islands","2015/16","Healthy Birthweight","Raw",89.8936170212766
"Scottish Borders","2015/16","Healthy Birthweight","Raw",90.5982905982906
"Shetland Islands","2015/16","Healthy Birthweight","Raw",88.7323943661972
"South Ayrshire","2015/16","Healthy Birthweight","Raw",88.4937238493724
"South Lanarkshire","2015/16","Healthy Birthweight","Raw",89.3651832460733
"Stirling","2015/16","Healthy Birthweight","Raw",89.1521197007481
"Aberdeen City","2015/16","Healthy Birthweight","Raw",90.0677200902935
"Aberdeenshire","2015/16","Healthy Birthweight","Raw",91.0789172703012
"Argyll and Bute","2015/16","Healthy Birthweight","Raw",89.2575039494471
"Edinburgh, City of","2015/16","Healthy Birthweight","Raw",90.3471138845554
"Renfrewshire","2015/16","Healthy Birthweight","Raw",88.4480746791132
"West Dunbartonshire","2015/16","Healthy Birthweight","Raw",87.8547105561861
"West Lothian","2015/16","Healthy Birthweight","Raw",89.5212765957447
"Angus","2015/16","Healthy Birthweight","Raw",90.4761904761905
"Dundee City","2015/16","Healthy Birthweight","Raw",90.1540522438044
"East Dunbartonshire","2015/16","Healthy Birthweight","Raw",88.9004149377593
"Fife","2015/16","Healthy Birthweight","Raw",88.3116883116883
"Perth and Kinross","2015/16","Healthy Birthweight","Raw",89.048760991207
"Glasgow City","2015/16","Healthy Birthweight","Raw",88.9954270541378
"North Lanarkshire","2015/16","Healthy Birthweight","Raw",90.4066437571592
"Clackmannanshire","2016/17","Healthy Birthweight","Raw",90.3162055335968
"Dumfries and Galloway","2016/17","Healthy Birthweight","Raw",88.1720430107527
"East Ayrshire","2016/17","Healthy Birthweight","Raw",90.5754795663052
"East Lothian","2016/17","Healthy Birthweight","Raw",88.911495422177
"East Renfrewshire","2016/17","Healthy Birthweight","Raw",89.5306859205776
"Eilean Siar","2016/17","Healthy Birthweight","Raw",90.0900900900901
"Falkirk","2016/17","Healthy Birthweight","Raw",90.8190224570674
"Highland","2016/17","Healthy Birthweight","Raw",89.5588235294118
"Inverclyde","2016/17","Healthy Birthweight","Raw",92.412746585736
"Midlothian","2016/17","Healthy Birthweight","Raw",88.7049659201558
"Moray","2016/17","Healthy Birthweight","Raw",88.8762769580023
