"value","Year","IZCode","IZName","CPP","Indicator","Type"
5.87,"2012/13-2014/15","S02001486","Northern and Irvine Valley Rural","East Ayrshire","Attainment","Raw"
5.5,"2012/13-2014/15","S02001481","Cumnock Rural","East Ayrshire","Attainment","Raw"
5.62,"2012/13-2014/15","S02001480","Mauchline","East Ayrshire","Attainment","Raw"
5.5,"2012/13-2014/15","S02001483","Cumnock South and Craigens","East Ayrshire","Attainment","Raw"
5.13,"2012/13-2014/15","S02001482","New Cumnock","East Ayrshire","Attainment","Raw"
4.78,"2012/13-2014/15","S02001462","Whitfield","Dundee City","Attainment","Raw"
5.77,"2012/13-2014/15","S02001461","West Pitkerro","Dundee City","Attainment","Raw"
4.72,"2012/13-2014/15","S02001464","Linlathen and Midcraigie","Dundee City","Attainment","Raw"
5.25,"2012/13-2014/15","S02001463","Fintry","Dundee City","Attainment","Raw"
5.93,"2012/13-2014/15","S02001458","Broughty Ferry West","Dundee City","Attainment","Raw"
4.92,"2012/13-2014/15","S02001457","Douglas East","Dundee City","Attainment","Raw"
6.05,"2012/13-2014/15","S02001460","Barnhill","Dundee City","Attainment","Raw"
6.04,"2012/13-2014/15","S02001459","Broughty Ferry East","Dundee City","Attainment","Raw"
5.12,"2012/13-2014/15","S02001469","Law","Dundee City","Attainment","Raw"
5.4,"2012/13-2014/15","S02001468","Fairmuir","Dundee City","Attainment","Raw"
4.96,"2012/13-2014/15","S02001471","Menzieshill","Dundee City","Attainment","Raw"
5.68,"2012/13-2014/15","S02001470","Balgay","Dundee City","Attainment","Raw"
5.02,"2012/13-2014/15","S02001466","Kirkton","Dundee City","Attainment","Raw"
5.05,"2012/13-2014/15","S02001465","Caird Park","Dundee City","Attainment","Raw"
5.51,"2012/13-2014/15","S02001467","Downfield","Dundee City","Attainment","Raw"
5.47,"2012/13-2014/15","S02001383","Cowal South","Argyll and Bute","Attainment","Raw"
5.27,"2012/13-2014/15","S02001382","Rothesay Town","Argyll and Bute","Attainment","Raw"
5.38,"2012/13-2014/15","S02001385","Hunter's Quay","Argyll and Bute","Attainment","Raw"
5.57,"2012/13-2014/15","S02001384","Cowal North","Argyll and Bute","Attainment","Raw"
5.6,"2012/13-2014/15","S02001379","Kintyre Trail","Argyll and Bute","Attainment","Raw"
5.68,"2012/13-2014/15","S02001378","Whisky Isles","Argyll and Bute","Attainment","Raw"
5.66,"2012/13-2014/15","S02001381","Bute","Argyll and Bute","Attainment","Raw"
5.26,"2012/13-2014/15","S02001380","Campbeltown","Argyll and Bute","Attainment","Raw"
5.58,"2012/13-2014/15","S02001391","Helensburgh East","Argyll and Bute","Attainment","Raw"
5.54,"2012/13-2014/15","S02001390","Helensburgh Centre","Argyll and Bute","Attainment","Raw"
5.27,"2012/13-2014/15","S02001393","Tullibody South","Clackmannanshire","Attainment","Raw"
6.02,"2012/13-2014/15","S02001392","Lomond Shore","Argyll and Bute","Attainment","Raw"
5.64,"2012/13-2014/15","S02001387","Garelochhead","Argyll and Bute","Attainment","Raw"
5.42,"2012/13-2014/15","S02001386","Dunoon","Argyll and Bute","Attainment","Raw"
5.97,"2012/13-2014/15","S02001389","Helensburgh North","Argyll and Bute","Attainment","Raw"
5.92,"2012/13-2014/15","S02001388","Helensburgh West and Rhu","Argyll and Bute","Attainment","Raw"
5.75,"2012/13-2014/15","S02001367","Kirriemuir Landward","Angus","Attainment","Raw"
5.37,"2012/13-2014/15","S02001366","Forfar West","Angus","Attainment","Raw"
5.88,"2012/13-2014/15","S02001369","Angus Glens","Angus","Attainment","Raw"
5.7,"2012/13-2014/15","S02001368","Kirriemuir","Angus","Attainment","Raw"
5.76,"2012/13-2014/15","S02001363","Letham and Glamis","Angus","Attainment","Raw"
5.58,"2012/13-2014/15","S02001362","Brechin West","Angus","Attainment","Raw"
4.97,"2012/13-2014/15","S02001365","Forfar Central","Angus","Attainment","Raw"
5.63,"2012/13-2014/15","S02001364","Forfar East","Angus","Attainment","Raw"
5.7,"2012/13-2014/15","S02001375","Mid Argyll","Argyll and Bute","Attainment","Raw"
5.85,"2012/13-2014/15","S02001374","Loch Awe","Argyll and Bute","Attainment","Raw"
5.82,"2012/13-2014/15","S02001377","Knapdale","Argyll and Bute","Attainment","Raw"
5.45,"2012/13-2014/15","S02001376","Greater Lochgilphead","Argyll and Bute","Attainment","Raw"
5.16,"2012/13-2014/15","S02001371","Oban South","Argyll and Bute","Attainment","Raw"
5.72,"2012/13-2014/15","S02001370","Mull, Iona, Coll and Tiree","Argyll and Bute","Attainment","Raw"
5.64,"2012/13-2014/15","S02001373","Benderloch Trail","Argyll and Bute","Attainment","Raw"
5.27,"2012/13-2014/15","S02001372","Oban North","Argyll and Bute","Attainment","Raw"
5.83,"2012/13-2014/15","S02001414","Kirkcudbright","Dumfries and Galloway","Attainment","Raw"
5.6,"2012/13-2014/15","S02001413","Gatehouse","Dumfries and Galloway","Attainment","Raw"
5.48,"2012/13-2014/15","S02001416","Dalbeattie","Dumfries and Galloway","Attainment","Raw"
5.58,"2012/13-2014/15","S02001415","Castle Douglas","Dumfries and Galloway","Attainment","Raw"
5.72,"2012/13-2014/15","S02001410","Machars North","Dumfries and Galloway","Attainment","Raw"
5.52,"2012/13-2014/15","S02001409","Rhins South","Dumfries and Galloway","Attainment","Raw"
5.43,"2012/13-2014/15","S02001412","Newton Stewart","Dumfries and Galloway","Attainment","Raw"
5.66,"2012/13-2014/15","S02001411","Machars South","Dumfries and Galloway","Attainment","Raw"
5.77,"2012/13-2014/15","S02001422","Shawhead","Dumfries and Galloway","Attainment","Raw"
5.73,"2012/13-2014/15","S02001421","Mid Nithsdale","Dumfries and Galloway","Attainment","Raw"
5.28,"2012/13-2014/15","S02001424","Summerville","Dumfries and Galloway","Attainment","Raw"
4.79,"2012/13-2014/15","S02001423","Lochside and Lincluden","Dumfries and Galloway","Attainment","Raw"
5.69,"2012/13-2014/15","S02001418","Glenkens","Dumfries and Galloway","Attainment","Raw"
5.86,"2012/13-2014/15","S02001417","Dalbeattie Rural","Dumfries and Galloway","Attainment","Raw"
5.88,"2012/13-2014/15","S02001420","Thornhill","Dumfries and Galloway","Attainment","Raw"
5.44,"2012/13-2014/15","S02001419","Upper Nithsdale","Dumfries and Galloway","Attainment","Raw"
5.9,"2012/13-2014/15","S02001399","Dollar and Muckhart","Clackmannanshire","Attainment","Raw"
5.59,"2012/13-2014/15","S02001398","Tillicoultry","Clackmannanshire","Attainment","Raw"
5.16,"2012/13-2014/15","S02001401","Sauchie","Clackmannanshire","Attainment","Raw"
5.37,"2012/13-2014/15","S02001400","Clackmannan, Kennet and Forestmill","Clackmannanshire","Attainment","Raw"
5.92,"2012/13-2014/15","S02001395","Menstrie","Clackmannanshire","Attainment","Raw"
5.13,"2012/13-2014/15","S02001394","Tullibody North and Glenochil","Clackmannanshire","Attainment","Raw"
5.42,"2012/13-2014/15","S02001397","Fishcross, Devon Village and Coalsnaughton","Clackmannanshire","Attainment","Raw"
5.76,"2012/13-2014/15","S02001396","Alva","Clackmannanshire","Attainment","Raw"
5.22,"2012/13-2014/15","S02001406","Stranraer East","Dumfries and Galloway","Attainment","Raw"
5.25,"2012/13-2014/15","S02001405","Stranraer West","Dumfries and Galloway","Attainment","Raw"
5.48,"2012/13-2014/15","S02001408","Rhins North","Dumfries and Galloway","Attainment","Raw"
5.37,"2012/13-2014/15","S02001407","Stranraer South","Dumfries and Galloway","Attainment","Raw"
5.31,"2012/13-2014/15","S02001403","Alloa North","Clackmannanshire","Attainment","Raw"
4.5,"2012/13-2014/15","S02001402","Alloa South and East","Clackmannanshire","Attainment","Raw"
5.66,"2012/13-2014/15","S02001404","Alloa West","Clackmannanshire","Attainment","Raw"
5.61,"2012/13-2014/15","S02002077","Cullen, Portknockie, Findochty, Drybridge and Berryhillock","Moray","Attainment","Raw"
5.32,"2012/13-2014/15","S02002076","Keith and Fife Keith","Moray","Attainment","Raw"
5.72,"2012/13-2014/15","S02002079","Buckie West and Mains of Buckie","Moray","Attainment","Raw"
5.57,"2012/13-2014/15","S02002078","Buckie Central East","Moray","Attainment","Raw"
5.49,"2012/13-2014/15","S02002073","South Speyside and the Cabrach","Moray","Attainment","Raw"
5.14,"2012/13-2014/15","S02002072","Gorebridge and Middleton","Midlothian","Attainment","Raw"
5.55,"2012/13-2014/15","S02002075","Rural Keith and Strathisla","Moray","Attainment","Raw"
5.5,"2012/13-2014/15","S02002074","North Speyside","Moray","Attainment","Raw"
5.02,"2012/13-2014/15","S02002085","New Elgin East","Moray","Attainment","Raw"
5.26,"2012/13-2014/15","S02002084","Elgin Cathedral to Ashgrove and Pinefield","Moray","Attainment","Raw"
6.04,"2012/13-2014/15","S02002087","Elgin Central West","Moray","Attainment","Raw"
5.52,"2012/13-2014/15","S02002086","New Elgin West","Moray","Attainment","Raw"
5.52,"2012/13-2014/15","S02002081","Fochabers, Aultmore, Clochan and Ordiquish","Moray","Attainment","Raw"
5.64,"2012/13-2014/15","S02002080","Mosstodloch, Portgordon and seaward","Moray","Attainment","Raw"
5.6,"2012/13-2014/15","S02002083","Lhanbryde, Urquhart, Pitgavney and seaward","Moray","Attainment","Raw"
5.66,"2012/13-2014/15","S02002082","Heldon West, Fogwatt to Inchberry","Moray","Attainment","Raw"
5.39,"2012/13-2014/15","S02002061","Bonnyrigg North","Midlothian","Attainment","Raw"
5.28,"2012/13-2014/15","S02002060","Bonnyrigg South","Midlothian","Attainment","Raw"
6.13,"2012/13-2014/15","S02002063","Eskbank","Midlothian","Attainment","Raw"
5.61,"2012/13-2014/15","S02002062","Newbattle and Dalhousie","Midlothian","Attainment","Raw"
5.72,"2012/13-2014/15","S02002057","Roslin and Bilston","Midlothian","Attainment","Raw"
5.64,"2012/13-2014/15","S02002056","Pentland","Midlothian","Attainment","Raw"
5.34,"2012/13-2014/15","S02002059","Loanhead","Midlothian","Attainment","Raw"
5.63,"2012/13-2014/15","S02002058","Straiton","Midlothian","Attainment","Raw"
5.11,"2012/13-2014/15","S02002069","Mayfield","Midlothian","Attainment","Raw"
5.09,"2012/13-2014/15","S02002068","Easthouses","Midlothian","Attainment","Raw"
4.88,"2012/13-2014/15","S02002071","North Gorebridge","Midlothian","Attainment","Raw"
5.06,"2012/13-2014/15","S02002070","Newtongrange","Midlothian","Attainment","Raw"
4.97,"2012/13-2014/15","S02002065","Thornybank","Midlothian","Attainment","Raw"
5.27,"2012/13-2014/15","S02002064","Shawfair","Midlothian","Attainment","Raw"
5.47,"2012/13-2014/15","S02002067","Pathhead and Rural East Midlothian","Midlothian","Attainment","Raw"
4.83,"2012/13-2014/15","S02002066","Dalkeith","Midlothian","Attainment","Raw"
5.21,"2012/13-2014/15","S02002109","Irvine Fullarton","North Ayrshire","Attainment","Raw"
5.14,"2012/13-2014/15","S02002108","Irvine Central","North Ayrshire","Attainment","Raw"
5.3,"2012/13-2014/15","S02002111","Saltcoats Central","North Ayrshire","Attainment","Raw"
5.35,"2012/13-2014/15","S02002110","Stevenston Ardeer","North Ayrshire","Attainment","Raw"
5.28,"2012/13-2014/15","S02002105","Irvine Castlepark North","North Ayrshire","Attainment","Raw"
5.73,"2012/13-2014/15","S02002104","Irvine Perceton and Lawthorn","North Ayrshire","Attainment","Raw"
5.31,"2012/13-2014/15","S02002107","Irvine East","North Ayrshire","Attainment","Raw"
4.97,"2012/13-2014/15","S02002106","Irvine Castlepark South","North Ayrshire","Attainment","Raw"
5.52,"2012/13-2014/15","S02002117","Stevenston North West","North Ayrshire","Attainment","Raw"
5.38,"2012/13-2014/15","S02002116","Saltcoats North East","North Ayrshire","Attainment","Raw"
5.88,"2012/13-2014/15","S02002119","Kilwinning Whitehirst Park and Woodside","North Ayrshire","Attainment","Raw"
5.1,"2012/13-2014/15","S02002118","Stevenston Hayocks","North Ayrshire","Attainment","Raw"
5.9,"2012/13-2014/15","S02002113","Ardrossan North West","North Ayrshire","Attainment","Raw"
5.08,"2012/13-2014/15","S02002112","Ardrossan Central","North Ayrshire","Attainment","Raw"
5.84,"2012/13-2014/15","S02002115","Saltcoats North West","North Ayrshire","Attainment","Raw"
5.22,"2012/13-2014/15","S02002114","Ardrossan North East","North Ayrshire","Attainment","Raw"
5.72,"2012/13-2014/15","S02002093","Findhorn, Kinloss and Pluscarden Valley","Moray","Attainment","Raw"
5.65,"2012/13-2014/15","S02002092","Burghead, Roseisle and Laich","Moray","Attainment","Raw"
5.43,"2012/13-2014/15","S02002095","Forres South West and Mannachie","Moray","Attainment","Raw"
5.96,"2012/13-2014/15","S02002094","Forres Central East and seaward","Moray","Attainment","Raw"
5.6,"2012/13-2014/15","S02002089","Elgin Bishopmill West and Newfield","Moray","Attainment","Raw"
5.56,"2012/13-2014/15","S02002088","Elgin Bishopmill East and Ladyhill","Moray","Attainment","Raw"
5.11,"2012/13-2014/15","S02002091","Lossiemouth West","Moray","Attainment","Raw"
5.46,"2012/13-2014/15","S02002090","Lossiemouth East and Seatown","Moray","Attainment","Raw"
4.8,"2012/13-2014/15","S02002101","Irvine Broomlands","North Ayrshire","Attainment","Raw"
5.28,"2012/13-2014/15","S02002100","Dreghorn","North Ayrshire","Attainment","Raw"
5.43,"2012/13-2014/15","S02002103","Irvine Girdle Toll and Staneca","North Ayrshire","Attainment","Raw"
4.77,"2012/13-2014/15","S02002102","Irvine Bourtreehill","North Ayrshire","Attainment","Raw"
5.75,"2012/13-2014/15","S02002097","Arran","North Ayrshire","Attainment","Raw"
5.8,"2012/13-2014/15","S02002096","Rafford, Dallas, Dyke to Dava","Moray","Attainment","Raw"
5.61,"2012/13-2014/15","S02002099","Irvine Tarryholme","North Ayrshire","Attainment","Raw"
5.09,"2012/13-2014/15","S02002098","Springside and Rural","North Ayrshire","Attainment","Raw"
5.53,"2012/13-2014/15","S02002014","Ross and Cromarty East","Highland","Attainment","Raw"
5.42,"2012/13-2014/15","S02002013","Ross and Cromarty Central","Highland","Attainment","Raw"
5.5,"2012/13-2014/15","S02002016","Conon","Highland","Attainment","Raw"
5.48,"2012/13-2014/15","S02002015","Muir of Ord","Highland","Attainment","Raw"
5.29,"2012/13-2014/15","S02002010","Skye North West","Highland","Attainment","Raw"
5.68,"2012/13-2014/15","S02002009","Skye North East","Highland","Attainment","Raw"
5.78,"2012/13-2014/15","S02002012","Ross and Cromarty North West","Highland","Attainment","Raw"
5.68,"2012/13-2014/15","S02002011","Ross and Cromarty South West","Highland","Attainment","Raw"
5.1,"2012/13-2014/15","S02002022","Seaboard","Highland","Attainment","Raw"
5.04,"2012/13-2014/15","S02002021","Invergordon","Highland","Attainment","Raw"
5.69,"2012/13-2014/15","S02002024","Sutherland South","Highland","Attainment","Raw"
5.14,"2012/13-2014/15","S02002023","Tain","Highland","Attainment","Raw"
5.9,"2012/13-2014/15","S02002018","Black Isle South","Highland","Attainment","Raw"
5.3,"2012/13-2014/15","S02002017","Dingwall","Highland","Attainment","Raw"
5.1,"2012/13-2014/15","S02002020","Alness","Highland","Attainment","Raw"
5.84,"2012/13-2014/15","S02002019","Black Isle North","Highland","Attainment","Raw"
5.2,"2012/13-2014/15","S02001998","Inverness Central, Raigmore and Longman","Highland","Attainment","Raw"
5.94,"2012/13-2014/15","S02001997","Inverness Drakies","Highland","Attainment","Raw"
4.9,"2012/13-2014/15","S02002000","Inverness Ballifeary and Dalneigh","Highland","Attainment","Raw"
5.81,"2012/13-2014/15","S02001999","Inverness Crown and Haugh","Highland","Attainment","Raw"
5.8,"2012/13-2014/15","S02001994","Inverness Lochardil and Holm Mains","Highland","Attainment","Raw"
5.92,"2012/13-2014/15","S02001993","Inverness Slackbuie","Highland","Attainment","Raw"
4.89,"2012/13-2014/15","S02001996","Inverness Hilton","Highland","Attainment","Raw"
5.45,"2012/13-2014/15","S02001995","Inverness Drummond","Highland","Attainment","Raw"
5.71,"2012/13-2014/15","S02002006","Loch Ness","Highland","Attainment","Raw"
5.77,"2012/13-2014/15","S02002005","Inverness West Rural","Highland","Attainment","Raw"
5.86,"2012/13-2014/15","S02002008","Skye South","Highland","Attainment","Raw"
5.81,"2012/13-2014/15","S02002007","Lochalsh","Highland","Attainment","Raw"
4.36,"2012/13-2014/15","S02002002","Inverness Merkinch","Highland","Attainment","Raw"
5.5,"2012/13-2014/15","S02002001","Inverness Muirtown","Highland","Attainment","Raw"
5.33,"2012/13-2014/15","S02002004","Inverness Kinmylies and South West","Highland","Attainment","Raw"
5.67,"2012/13-2014/15","S02002003","Inverness Scorguie","Highland","Attainment","Raw"
5.18,"2012/13-2014/15","S02002045","Greenock Upper Central","Inverclyde","Attainment","Raw"
5.85,"2012/13-2014/15","S02002044","Bow Farm, Barrs Cottage, Cowdenknowes and Overton","Inverclyde","Attainment","Raw"
5.32,"2012/13-2014/15","S02002047","Greenock East","Inverclyde","Attainment","Raw"
5.28,"2012/13-2014/15","S02002046","Greenock Town Centre and East Central","Inverclyde","Attainment","Raw"
5.15,"2012/13-2014/15","S02002041","Lower Bow and Larkfield, Fancy Farm, Mallard Bowl","Inverclyde","Attainment","Raw"
5.11,"2012/13-2014/15","S02002040","Braeside, Branchton, Lower Larkfield and Ravenscraig","Inverclyde","Attainment","Raw"
5.86,"2012/13-2014/15","S02002043","Greenock West and Central","Inverclyde","Attainment","Raw"
6.21,"2012/13-2014/15","S02002042","Gourock East, Greenock West and Lyle Road","Inverclyde","Attainment","Raw"
5.76,"2012/13-2014/15","S02002053","Penicuik Southwest","Midlothian","Attainment","Raw"
5.82,"2012/13-2014/15","S02002052","Penicuik Southeast","Midlothian","Attainment","Raw"
5.78,"2012/13-2014/15","S02002055","Penicuik North","Midlothian","Attainment","Raw"
5.34,"2012/13-2014/15","S02002054","Penicuik East","Midlothian","Attainment","Raw"
5.15,"2012/13-2014/15","S02002049","Port Glasgow Mid, East and Central","Inverclyde","Attainment","Raw"
5.49,"2012/13-2014/15","S02002048","Port Glasgow Upper, West and Central","Inverclyde","Attainment","Raw"
5.84,"2012/13-2014/15","S02002051","Rural South Midlothian","Midlothian","Attainment","Raw"
5.3,"2012/13-2014/15","S02002050","Port Glasgow Upper East","Inverclyde","Attainment","Raw"
5.54,"2012/13-2014/15","S02002030","Caithness North West","Highland","Attainment","Raw"
5.64,"2012/13-2014/15","S02002029","Caithness North East","Highland","Attainment","Raw"
5.34,"2012/13-2014/15","S02002032","Thurso West","Highland","Attainment","Raw"
5.29,"2012/13-2014/15","S02002031","Thurso East","Highland","Attainment","Raw"
5.18,"2012/13-2014/15","S02002026","Caithness South","Highland","Attainment","Raw"
5.4,"2012/13-2014/15","S02002025","Sutherland East","Highland","Attainment","Raw"
5.22,"2012/13-2014/15","S02002028","Wick North","Highland","Attainment","Raw"
5.05,"2012/13-2014/15","S02002027","Wick South","Highland","Attainment","Raw"
6.19,"2012/13-2014/15","S02002037","West Braeside, East Inverkip and West Gourock","Inverclyde","Attainment","Raw"
5.86,"2012/13-2014/15","S02002036","Inverkip and Wemyss Bay","Inverclyde","Attainment","Raw"
5.76,"2012/13-2014/15","S02002039","Gourock Central, Upper East and IRH","Inverclyde","Attainment","Raw"
5.95,"2012/13-2014/15","S02002038","Gourock Upper and West Central and Upper Larkfield","Inverclyde","Attainment","Raw"
5.89,"2012/13-2014/15","S02002034","Kilmacolm Central","Inverclyde","Attainment","Raw"
5.69,"2012/13-2014/15","S02002033","Sutherland North and West","Highland","Attainment","Raw"
5.95,"2012/13-2014/15","S02002035","Kilmacolm, Quarriers, Greenock Upper East/Central","Inverclyde","Attainment","Raw"
5.45,"2012/13-2014/15","S02002204","Abronhill South","North Lanarkshire","Attainment","Raw"
5.37,"2012/13-2014/15","S02002203","Kildrum","North Lanarkshire","Attainment","Raw"
5.33,"2012/13-2014/15","S02002206","Village and Castlecary","North Lanarkshire","Attainment","Raw"
5.61,"2012/13-2014/15","S02002205","Abronhill North","North Lanarkshire","Attainment","Raw"
5.62,"2012/13-2014/15","S02002200","Greenfaulds","North Lanarkshire","Attainment","Raw"
5.58,"2012/13-2014/15","S02002199","Condorrat","North Lanarkshire","Attainment","Raw"
5.14,"2012/13-2014/15","S02002202","Cumbernauld Central","North Lanarkshire","Attainment","Raw"
5.04,"2012/13-2014/15","S02002201","Seafar","North Lanarkshire","Attainment","Raw"
5.45,"2012/13-2014/15","S02002212","Balmalloch","North Lanarkshire","Attainment","Raw"
5.43,"2012/13-2014/15","S02002211","Kilsyth Bogside","North Lanarkshire","Attainment","Raw"
5.54,"2012/13-2014/15","S02002214","West Mainland","Orkney Islands","Attainment","Raw"
5.8,"2012/13-2014/15","S02002213","Stromness, Sandwick and Stenness","Orkney Islands","Attainment","Raw"
6,"2012/13-2014/15","S02002208","Balloch West","North Lanarkshire","Attainment","Raw"
5.98,"2012/13-2014/15","S02002207","Carrickstone","North Lanarkshire","Attainment","Raw"
5.54,"2012/13-2014/15","S02002210","Kilsyth East and Croy","North Lanarkshire","Attainment","Raw"
5.76,"2012/13-2014/15","S02002209","Balloch East","North Lanarkshire","Attainment","Raw"
5.14,"2012/13-2014/15","S02002188","Airdrie North","North Lanarkshire","Attainment","Raw"
5.42,"2012/13-2014/15","S02002187","Thrashbush","North Lanarkshire","Attainment","Raw"
5.13,"2012/13-2014/15","S02002190","Caldercruix and Plains","North Lanarkshire","Attainment","Raw"
5.28,"2012/13-2014/15","S02002189","Drumgelloch","North Lanarkshire","Attainment","Raw"
4.87,"2012/13-2014/15","S02002184","Gartlea","North Lanarkshire","Attainment","Raw"
4.67,"2012/13-2014/15","S02002183","Petersburn","North Lanarkshire","Attainment","Raw"
5.33,"2012/13-2014/15","S02002186","Coatdyke and Whinhall","North Lanarkshire","Attainment","Raw"
5.85,"2012/13-2014/15","S02002185","Cairnhill","North Lanarkshire","Attainment","Raw"
5.2,"2012/13-2014/15","S02002196","Moodiesburn West","North Lanarkshire","Attainment","Raw"
5.47,"2012/13-2014/15","S02002195","Chryston and Muirhead","North Lanarkshire","Attainment","Raw"
5.77,"2012/13-2014/15","S02002198","Westfield","North Lanarkshire","Attainment","Raw"
5.63,"2012/13-2014/15","S02002197","Moodiesburn East","North Lanarkshire","Attainment","Raw"
5.54,"2012/13-2014/15","S02002192","Gartcosh and Marnock","North Lanarkshire","Attainment","Raw"
5.69,"2012/13-2014/15","S02002191","Glenmavis and Greengairs","North Lanarkshire","Attainment","Raw"
6.09,"2012/13-2014/15","S02002194","Stepps","North Lanarkshire","Attainment","Raw"
5.67,"2012/13-2014/15","S02002193","Cardowan and Millerston","North Lanarkshire","Attainment","Raw"
5.28,"2012/13-2014/15","S02002235","Hillyland, Tulloch and Inveralmond","Perth and Kinross","Attainment","Raw"
4.94,"2012/13-2014/15","S02002234","Letham","Perth and Kinross","Attainment","Raw"
5.13,"2012/13-2014/15","S02002237","Muirton","Perth and Kinross","Attainment","Raw"
5.23,"2012/13-2014/15","S02002236","North Muirton and Old Scone","Perth and Kinross","Attainment","Raw"
5.88,"2012/13-2014/15","S02002231","Viewlands, Craigie and Wellshill","Perth and Kinross","Attainment","Raw"
5.69,"2012/13-2014/15","S02002230","Moncrieffe and Friarton","Perth and Kinross","Attainment","Raw"
5.87,"2012/13-2014/15","S02002233","Western Edge","Perth and Kinross","Attainment","Raw"
6.08,"2012/13-2014/15","S02002232","Burghmuir and Oakbank","Perth and Kinross","Attainment","Raw"
5.35,"2012/13-2014/15","S02002243","Errol and Inchture","Perth and Kinross","Attainment","Raw"
5.87,"2012/13-2014/15","S02002242","Guildtown, Balbeggie and St Madoes","Perth and Kinross","Attainment","Raw"
5.53,"2012/13-2014/15","S02002245","Coupar Angus and Meigle","Perth and Kinross","Attainment","Raw"
6.07,"2012/13-2014/15","S02002244","Invergowrie, Longforgan and Abernyte","Perth and Kinross","Attainment","Raw"
5.31,"2012/13-2014/15","S02002239","Central and South Inch","Perth and Kinross","Attainment","Raw"
5.43,"2012/13-2014/15","S02002238","North Inch","Perth and Kinross","Attainment","Raw"
5.81,"2012/13-2014/15","S02002241","Scone","Perth and Kinross","Attainment","Raw"
5.89,"2012/13-2014/15","S02002240","Gannochy and Walnut Grove","Perth and Kinross","Attainment","Raw"
5.8,"2012/13-2014/15","S02002220","Kinross","Perth and Kinross","Attainment","Raw"
5.94,"2012/13-2014/15","S02002219","Powmill, Cleish and Scotlandwell","Perth and Kinross","Attainment","Raw"
5.91,"2012/13-2014/15","S02002222","Muthill, Greenloaning and Gleneagles","Perth and Kinross","Attainment","Raw"
6.07,"2012/13-2014/15","S02002221","Milnathort and Crook of Devon","Perth and Kinross","Attainment","Raw"
5.63,"2012/13-2014/15","S02002216","West Kirkwall","Orkney Islands","Attainment","Raw"
5.63,"2012/13-2014/15","S02002215","East Mainland","Orkney Islands","Attainment","Raw"
5.71,"2012/13-2014/15","S02002218","Isles","Orkney Islands","Attainment","Raw"
5.38,"2012/13-2014/15","S02002217","East Kirkwall","Orkney Islands","Attainment","Raw"
5.78,"2012/13-2014/15","S02002227","Aberuthven and Almondbank","Perth and Kinross","Attainment","Raw"
5.36,"2012/13-2014/15","S02002226","Crieff South","Perth and Kinross","Attainment","Raw"
5.65,"2012/13-2014/15","S02002229","Bridge of Earn and Abernethy","Perth and Kinross","Attainment","Raw"
5.97,"2012/13-2014/15","S02002228","Glenfarg, Dunning and Rhynd","Perth and Kinross","Attainment","Raw"
5.69,"2012/13-2014/15","S02002224","Comrie, Gilmerton and St Fillans","Perth and Kinross","Attainment","Raw"
5.79,"2012/13-2014/15","S02002223","Auchterarder","Perth and Kinross","Attainment","Raw"
5.92,"2012/13-2014/15","S02002225","Crieff North","Perth and Kinross","Attainment","Raw"
5.16,"2012/13-2014/15","S02002141","Wishaw South","North Lanarkshire","Attainment","Raw"
5.04,"2012/13-2014/15","S02002140","Pather","North Lanarkshire","Attainment","Raw"
5.17,"2012/13-2014/15","S02002143","Coltness","North Lanarkshire","Attainment","Raw"
5.54,"2012/13-2014/15","S02002142","Wishaw North","North Lanarkshire","Attainment","Raw"
5.6,"2012/13-2014/15","S02002137","Muirhouse","North Lanarkshire","Attainment","Raw"
5.5,"2012/13-2014/15","S02002136","Netherton and Kirkhill","North Lanarkshire","Attainment","Raw"
4.56,"2012/13-2014/15","S02002139","Craigneuk Wishaw","North Lanarkshire","Attainment","Raw"
5.81,"2012/13-2014/15","S02002138","Muirhouse and Knowetop","North Lanarkshire","Attainment","Raw"
5.41,"2012/13-2014/15","S02002149","Harthill and Salsburgh","North Lanarkshire","Attainment","Raw"
5.28,"2012/13-2014/15","S02002148","Stane","North Lanarkshire","Attainment","Raw"
5.29,"2012/13-2014/15","S02002151","Newarthill","North Lanarkshire","Attainment","Raw"
5.49,"2012/13-2014/15","S02002150","Cleland","North Lanarkshire","Attainment","Raw"
5.04,"2012/13-2014/15","S02002145","Newmains","North Lanarkshire","Attainment","Raw"
5.69,"2012/13-2014/15","S02002144","Wishaw East","North Lanarkshire","Attainment","Raw"
5.24,"2012/13-2014/15","S02002147","Shotts","North Lanarkshire","Attainment","Raw"
5.71,"2012/13-2014/15","S02002146","Allanton - Newmains Rural","North Lanarkshire","Attainment","Raw"
5.96,"2012/13-2014/15","S02002125","Fairlie and Rural","North Ayrshire","Attainment","Raw"
5.1,"2012/13-2014/15","S02002124","Dalry West","North Ayrshire","Attainment","Raw"
5.98,"2012/13-2014/15","S02002127","Largs South","North Ayrshire","Attainment","Raw"
5.75,"2012/13-2014/15","S02002126","West Kilbride and Seamill","North Ayrshire","Attainment","Raw"
5.16,"2012/13-2014/15","S02002121","Kilwinning West and Blacklands","North Ayrshire","Attainment","Raw"
5.07,"2012/13-2014/15","S02002120","Kilwinning Pennyburn","North Ayrshire","Attainment","Raw"
5.7,"2012/13-2014/15","S02002123","Dalry East and Rural","North Ayrshire","Attainment","Raw"
