"CPP","Year","Indicator","Type","value"
"Perth and Kinross","2011/12-2013/14","Attainment","Raw",5.602
"Perth and Kinross","2012/13-2014/15","Attainment","Raw",5.65714285714286
"Perth and Kinross","2013/14-2015/16","Attainment","Raw",5.67485714285714
"Perth and Kinross","2014/15-2016/17","Attainment","Raw",5.63028571428571
"Perth and Kinross","2015/16-2017/18","Attainment","Raw",5.60114285714286
"Perth and Kinross","2016/17-2018/19","Attainment","Raw",5.58326285714286
"Perth and Kinross","2017/18-2019/20","Attainment","Raw",5.64711257142857
"Renfrewshire","2011/12-2013/14","Attainment","Raw",5.52236842105263
"Renfrewshire","2012/13-2014/15","Attainment","Raw",5.545
"Renfrewshire","2013/14-2015/16","Attainment","Raw",5.56289473684211
"Renfrewshire","2014/15-2016/17","Attainment","Raw",5.56605263157895
"Renfrewshire","2015/16-2017/18","Attainment","Raw",5.59421052631579
"Renfrewshire","2016/17-2018/19","Attainment","Raw",5.61735184210526
"Renfrewshire","2017/18-2019/20","Attainment","Raw",5.63882710526316
"Scotland","2011/12-2013/14","Attainment","Raw",5.52662136874538
"Scotland","2012/13-2014/15","Attainment","Raw",5.5370947348087
"Scotland","2013/14-2015/16","Attainment","Raw",5.54734441823795
"Scotland","2014/15-2016/17","Attainment","Raw",5.5594084038576
"Scotland","2015/16-2017/18","Attainment","Raw",5.5667325036535
"Scotland","2016/17-2018/19","Attainment","Raw",5.55626026767582
"Scotland","2017/18-2019/20","Attainment","Raw",5.57062420959579
"Scottish Borders","2011/12-2013/14","Attainment","Raw",5.53766666666667
"Scottish Borders","2012/13-2014/15","Attainment","Raw",5.57733333333333
"Scottish Borders","2013/14-2015/16","Attainment","Raw",5.571
"Scottish Borders","2014/15-2016/17","Attainment","Raw",5.583
"Scottish Borders","2015/16-2017/18","Attainment","Raw",5.56066666666667
"Scottish Borders","2016/17-2018/19","Attainment","Raw",5.57046333333333
"Scottish Borders","2017/18-2019/20","Attainment","Raw",5.58126433333333
"Shetland Islands","2011/12-2013/14","Attainment","Raw",5.55571428571429
"Shetland Islands","2012/13-2014/15","Attainment","Raw",5.58428571428571
"Shetland Islands","2013/14-2015/16","Attainment","Raw",5.60428571428571
"Shetland Islands","2014/15-2016/17","Attainment","Raw",5.68714285714286
"Shetland Islands","2015/16-2017/18","Attainment","Raw",5.71142857142857
"Shetland Islands","2016/17-2018/19","Attainment","Raw",5.73301428571429
"Shetland Islands","2017/18-2019/20","Attainment","Raw",5.70251714285714
"South Ayrshire","2011/12-2013/14","Attainment","Raw",5.5572
"South Ayrshire","2012/13-2014/15","Attainment","Raw",5.5544
"South Ayrshire","2013/14-2015/16","Attainment","Raw",5.5868
"South Ayrshire","2014/15-2016/17","Attainment","Raw",5.6316
"South Ayrshire","2015/16-2017/18","Attainment","Raw",5.634
"South Ayrshire","2016/17-2018/19","Attainment","Raw",5.6187832
"South Ayrshire","2017/18-2019/20","Attainment","Raw",5.6114524
"South Lanarkshire","2011/12-2013/14","Attainment","Raw",5.44536585365854
"South Lanarkshire","2012/13-2014/15","Attainment","Raw",5.43963414634146
"South Lanarkshire","2013/14-2015/16","Attainment","Raw",5.4740243902439
"South Lanarkshire","2014/15-2016/17","Attainment","Raw",5.51390243902439
"South Lanarkshire","2015/16-2017/18","Attainment","Raw",5.53573170731707
"South Lanarkshire","2016/17-2018/19","Attainment","Raw",5.54060658536585
"South Lanarkshire","2017/18-2019/20","Attainment","Raw",5.56795804878049
"Stirling","2011/12-2013/14","Attainment","Raw",5.59041666666667
"Stirling","2012/13-2014/15","Attainment","Raw",5.61333333333333
"Stirling","2013/14-2015/16","Attainment","Raw",5.65625
"Stirling","2014/15-2016/17","Attainment","Raw",5.67541666666667
"Stirling","2015/16-2017/18","Attainment","Raw",5.71291666666667
"Stirling","2016/17-2018/19","Attainment","Raw",5.69106708333333
"Stirling","2017/18-2019/20","Attainment","Raw",5.72208083333333
"West Dunbartonshire","2011/12-2013/14","Attainment","Raw",5.43388888888889
"West Dunbartonshire","2012/13-2014/15","Attainment","Raw",5.43333333333333
"West Dunbartonshire","2013/14-2015/16","Attainment","Raw",5.46166666666667
"West Dunbartonshire","2014/15-2016/17","Attainment","Raw",5.47944444444444
"West Dunbartonshire","2015/16-2017/18","Attainment","Raw",5.46333333333333
"West Dunbartonshire","2016/17-2018/19","Attainment","Raw",5.43788555555556
"West Dunbartonshire","2017/18-2019/20","Attainment","Raw",5.44182777777778
"West Lothian","2011/12-2013/14","Attainment","Raw",5.50162162162162
"West Lothian","2012/13-2014/15","Attainment","Raw",5.52405405405405
"West Lothian","2013/14-2015/16","Attainment","Raw",5.53135135135135
"West Lothian","2014/15-2016/17","Attainment","Raw",5.53972972972973
"West Lothian","2015/16-2017/18","Attainment","Raw",5.54864864864865
"West Lothian","2016/17-2018/19","Attainment","Raw",5.54711810810811
"West Lothian","2017/18-2019/20","Attainment","Raw",5.5626254054054
