"CPP","Year","Indicator","Type","value"
"Dundee City",2017,"Out of Work Benefits","Raw",14.4504048582996
"Dundee City",2018,"Out of Work Benefits","Raw",14.5035460992908
"Dundee City",2019,"Out of Work Benefits","Raw",15.3185483870968
"Dundee City",2020,"Out of Work Benefits","Raw",19.2834008097166
"East Ayrshire",2013,"Out of Work Benefits","Raw",16.0114942528736
"East Ayrshire",2014,"Out of Work Benefits","Raw",14.5552699228792
"East Ayrshire",2015,"Out of Work Benefits","Raw",13.8475452196382
"East Ayrshire",2016,"Out of Work Benefits","Raw",13.5363636363636
"East Ayrshire",2017,"Out of Work Benefits","Raw",13.5744125326371
"East Ayrshire",2018,"Out of Work Benefits","Raw",14.0721784776903
"East Ayrshire",2019,"Out of Work Benefits","Raw",15.4381578947368
"East Ayrshire",2020,"Out of Work Benefits","Raw",20.0490066225166
"East Dunbartonshire",2013,"Out of Work Benefits","Raw",8.01832061068702
"East Dunbartonshire",2014,"Out of Work Benefits","Raw",7.42770167427702
"East Dunbartonshire",2015,"Out of Work Benefits","Raw",7.07645259938838
"East Dunbartonshire",2016,"Out of Work Benefits","Raw",6.92802450229709
"East Dunbartonshire",2017,"Out of Work Benefits","Raw",7.00305810397554
"East Dunbartonshire",2018,"Out of Work Benefits","Raw",7.36307692307692
"East Dunbartonshire",2019,"Out of Work Benefits","Raw",7.72685185185185
"East Dunbartonshire",2020,"Out of Work Benefits","Raw",10.9054263565891
"East Lothian",2013,"Out of Work Benefits","Raw",10.0817610062893
"East Lothian",2014,"Out of Work Benefits","Raw",9.30407523510972
"East Lothian",2015,"Out of Work Benefits","Raw",8.63239875389408
"East Lothian",2016,"Out of Work Benefits","Raw",8.41885625965997
"East Lothian",2017,"Out of Work Benefits","Raw",9.14946070878274
"East Lothian",2018,"Out of Work Benefits","Raw",9.51761102603369
"East Lothian",2019,"Out of Work Benefits","Raw",9.77625570776256
"East Lothian",2020,"Out of Work Benefits","Raw",13.580303030303
"East Renfrewshire",2013,"Out of Work Benefits","Raw",7.87566607460036
"East Renfrewshire",2014,"Out of Work Benefits","Raw",7.24247787610619
"East Renfrewshire",2015,"Out of Work Benefits","Raw",6.74336283185841
"East Renfrewshire",2016,"Out of Work Benefits","Raw",6.47887323943662
"East Renfrewshire",2017,"Out of Work Benefits","Raw",6.59122807017544
"East Renfrewshire",2018,"Out of Work Benefits","Raw",6.51929824561403
"East Renfrewshire",2019,"Out of Work Benefits","Raw",6.79577464788732
"East Renfrewshire",2020,"Out of Work Benefits","Raw",10.0491228070175
"Edinburgh, City of",2013,"Out of Work Benefits","Raw",9.77904929577465
"Edinburgh, City of",2014,"Out of Work Benefits","Raw",8.94614264919942
"Edinburgh, City of",2015,"Out of Work Benefits","Raw",8.08795630928428
"Edinburgh, City of",2016,"Out of Work Benefits","Raw",7.81520203447301
"Edinburgh, City of",2017,"Out of Work Benefits","Raw",7.58000558503211
"Edinburgh, City of",2018,"Out of Work Benefits","Raw",7.39292622271346
"Edinburgh, City of",2019,"Out of Work Benefits","Raw",7.31787175989086
"Edinburgh, City of",2020,"Out of Work Benefits","Raw",11.1006784260516
"Eilean Siar",2013,"Out of Work Benefits","Raw",9.94011976047904
"Eilean Siar",2014,"Out of Work Benefits","Raw",9
"Eilean Siar",2015,"Out of Work Benefits","Raw",8.6358024691358
"Eilean Siar",2016,"Out of Work Benefits","Raw",8.90625
"Eilean Siar",2017,"Out of Work Benefits","Raw",8.74050632911392
"Eilean Siar",2018,"Out of Work Benefits","Raw",8.29299363057325
"Eilean Siar",2019,"Out of Work Benefits","Raw",8.6474358974359
"Eilean Siar",2020,"Out of Work Benefits","Raw",12.9935064935065
"Falkirk",2013,"Out of Work Benefits","Raw",12.858407079646
"Falkirk",2014,"Out of Work Benefits","Raw",11.6256157635468
