"CPP","Year","child_population"
"Glasgow City",2006,98204
"Eilean Siar",2015,4348
"Angus",2002,20377
"Aberdeen City",2015,33851
"North Ayrshire",2012,24171
"Eilean Siar",2004,4878
"West Lothian",2003,34422
"East Ayrshire",2005,22579
"Highland",2014,40126
"Orkney Islands",2003,3780
"Scottish Borders",2011,19330
"Shetland Islands",2015,4254
"Edinburgh, City of",2007,69229
"Midlothian",2009,15516
"Scottish Borders",2002,20107
"South Lanarkshire",2003,58126
"Aberdeenshire",2009,47280
"Perth and Kinross",2013,24640
"Glasgow City",2015,97532
"Aberdeen City",2016,34187
"Renfrewshire",2012,30398
"North Lanarkshire",2009,64850
"Midlothian",2015,16624
"South Lanarkshire",2011,55445
"East Ayrshire",2013,21380
"North Lanarkshire",2015,63131
"Shetland Islands",2012,4403
"Midlothian",2008,15386
"East Dunbartonshire",2009,19019
"Shetland Islands",2002,4747
"East Renfrewshire",2011,17925
"North Lanarkshire",2006,64474
"East Renfrewshire",2014,18206
"North Ayrshire",2005,25739
"Renfrewshire",2010,30641
"East Renfrewshire",2007,18167
"East Renfrewshire",2015,18381
"Argyll and Bute",2003,16405
"Dundee City",2008,23855
"North Lanarkshire",2003,64921
"Clackmannanshire",2009,9562
"East Dunbartonshire",2015,18544
"West Lothian",2002,34709
"Clackmannanshire",2001,9973
"South Ayrshire",2004,19271
"Aberdeenshire",2010,47236
"Glasgow City",2013,96447
"Argyll and Bute",2015,13292
"Dumfries and Galloway",2013,24265
"East Dunbartonshire",2014,18384
"Highland",2012,40888
"Stirling",2016,15493
"South Ayrshire",2006,18944
"Argyll and Bute",2012,14058
"Eilean Siar",2013,4460
"West Lothian",2015,35102
"Renfrewshire",2013,30113
"Highland",2005,40487
"Argyll and Bute",2005,15869
"Midlothian",2010,15528
"Stirling",2014,15527
"Fife",2001,68538
"Aberdeenshire",2006,47023
"North Ayrshire",2008,25255
"Inverclyde",2005,15143
"Orkney Islands",2001,3815
"West Dunbartonshire",2016,15764
"East Dunbartonshire",2010,18733
"Angus",2009,20516
"Stirling",2008,16055
"North Lanarkshire",2014,63555
"Falkirk",2002,27974
"Stirling",2005,16456
"Falkirk",2016,28359
"Angus",2005,20652
"Aberdeenshire",2015,48856
"Fife",2005,65193
"West Lothian",2005,34505
"East Lothian",2013,18729
"Angus",2010,20391
"Clackmannanshire",2016,9024
"Argyll and Bute",2008,15011
"Eilean Siar",2014,4431
"Glasgow City",2012,96257
