"CPP","Year","Indicator","Type","value"
"Glasgow City","2008/2009","Crime","Raw",1415
"Glasgow City","2009/2010","Crime","Raw",1284
"Glasgow City","2010/2011","Crime","Raw",1200
"Glasgow City","2011/2012","Crime","Raw",1250
"Glasgow City","2012/2013","Crime","Raw",1076
"Glasgow City","2013/2014","Crime","Raw",1020
"Glasgow City","2014/2015","Crime","Raw",959
"Glasgow City","2015/2016","Crime","Raw",870
"Glasgow City","2016/2017","Crime","Raw",878
"Glasgow City","2017/2018","Crime","Raw",877
"Glasgow City","2018/2019","Crime","Raw",879
"Glasgow City","2019/2020","Crime","Raw",842
"Glasgow City","2020/2021","Crime","Raw",819
"Glasgow City","2021/2022","Crime","Raw",768
"Highland","2008/2009","Crime","Raw",752
"Highland","2009/2010","Crime","Raw",657
"Highland","2010/2011","Crime","Raw",623
"Highland","2011/2012","Crime","Raw",627
"Highland","2012/2013","Crime","Raw",529
"Highland","2013/2014","Crime","Raw",461
"Highland","2014/2015","Crime","Raw",397
"Highland","2015/2016","Crime","Raw",429
"Highland","2016/2017","Crime","Raw",430
"Highland","2017/2018","Crime","Raw",427
"Highland","2018/2019","Crime","Raw",409
"Highland","2019/2020","Crime","Raw",392
"Highland","2020/2021","Crime","Raw",397
"Highland","2021/2022","Crime","Raw",394
"Inverclyde","2008/2009","Crime","Raw",855
"Inverclyde","2009/2010","Crime","Raw",773
"Inverclyde","2010/2011","Crime","Raw",800
"Inverclyde","2011/2012","Crime","Raw",786
"Inverclyde","2012/2013","Crime","Raw",608
"Inverclyde","2013/2014","Crime","Raw",614
"Inverclyde","2014/2015","Crime","Raw",620
"Inverclyde","2015/2016","Crime","Raw",590
"Inverclyde","2016/2017","Crime","Raw",537
"Inverclyde","2017/2018","Crime","Raw",538
"Inverclyde","2018/2019","Crime","Raw",532
"Inverclyde","2019/2020","Crime","Raw",566
"Inverclyde","2020/2021","Crime","Raw",595
"Inverclyde","2021/2022","Crime","Raw",502
"Midlothian","2008/2009","Crime","Raw",820
"Midlothian","2009/2010","Crime","Raw",750
"Midlothian","2010/2011","Crime","Raw",653
"Midlothian","2011/2012","Crime","Raw",643
"Midlothian","2012/2013","Crime","Raw",583
"Midlothian","2013/2014","Crime","Raw",628
"Midlothian","2014/2015","Crime","Raw",627
"Midlothian","2015/2016","Crime","Raw",576
"Midlothian","2016/2017","Crime","Raw",625
"Midlothian","2017/2018","Crime","Raw",597
"Midlothian","2018/2019","Crime","Raw",595
"Midlothian","2019/2020","Crime","Raw",526
"Midlothian","2020/2021","Crime","Raw",478
"Midlothian","2021/2022","Crime","Raw",482
"Moray","2008/2009","Crime","Raw",661
"Moray","2009/2010","Crime","Raw",570
"Moray","2010/2011","Crime","Raw",569
"Moray","2011/2012","Crime","Raw",532
"Moray","2012/2013","Crime","Raw",451
"Moray","2013/2014","Crime","Raw",437
"Moray","2014/2015","Crime","Raw",372
"Moray","2015/2016","Crime","Raw",406
"Moray","2016/2017","Crime","Raw",387
"Moray","2017/2018","Crime","Raw",358
"Moray","2018/2019","Crime","Raw",374
"Moray","2019/2020","Crime","Raw",364
"Moray","2020/2021","Crime","Raw",344
"Moray","2021/2022","Crime","Raw",401
"Na h-Eileanan Siar","2008/2009","Crime","Raw",413
"Na h-Eileanan Siar","2009/2010","Crime","Raw",319
"Na h-Eileanan Siar","2010/2011","Crime","Raw",378
"Na h-Eileanan Siar","2011/2012","Crime","Raw",362
"Na h-Eileanan Siar","2012/2013","Crime","Raw",320
"Na h-Eileanan Siar","2013/2014","Crime","Raw",247
"Na h-Eileanan Siar","2014/2015","Crime","Raw",233
"Na h-Eileanan Siar","2015/2016","Crime","Raw",241
"Na h-Eileanan Siar","2016/2017","Crime","Raw",185
"Na h-Eileanan Siar","2017/2018","Crime","Raw",171
"Na h-Eileanan Siar","2018/2019","Crime","Raw",200
"Na h-Eileanan Siar","2019/2020","Crime","Raw",209
"Na h-Eileanan Siar","2020/2021","Crime","Raw",266
"Na h-Eileanan Siar","2021/2022","Crime","Raw",233
"North Ayrshire","2008/2009","Crime","Raw",927
"North Ayrshire","2009/2010","Crime","Raw",824
"North Ayrshire","2010/2011","Crime","Raw",803
"North Ayrshire","2011/2012","Crime","Raw",831
"North Ayrshire","2012/2013","Crime","Raw",686
"North Ayrshire","2013/2014","Crime","Raw",634
"North Ayrshire","2014/2015","Crime","Raw",613
"North Ayrshire","2015/2016","Crime","Raw",580
"North Ayrshire","2016/2017","Crime","Raw",565
"North Ayrshire","2017/2018","Crime","Raw",541
"North Ayrshire","2018/2019","Crime","Raw",553
"North Ayrshire","2019/2020","Crime","Raw",582
"North Ayrshire","2020/2021","Crime","Raw",594
"North Ayrshire","2021/2022","Crime","Raw",522
"North Lanarkshire","2008/2009","Crime","Raw",907
"North Lanarkshire","2009/2010","Crime","Raw",851
"North Lanarkshire","2010/2011","Crime","Raw",776
"North Lanarkshire","2011/2012","Crime","Raw",731
"North Lanarkshire","2012/2013","Crime","Raw",643
"North Lanarkshire","2013/2014","Crime","Raw",625
"North Lanarkshire","2014/2015","Crime","Raw",596
"North Lanarkshire","2015/2016","Crime","Raw",578
"North Lanarkshire","2016/2017","Crime","Raw",583
"North Lanarkshire","2017/2018","Crime","Raw",601
"North Lanarkshire","2018/2019","Crime","Raw",635
"North Lanarkshire","2019/2020","Crime","Raw",656
"North Lanarkshire","2020/2021","Crime","Raw",637
"North Lanarkshire","2021/2022","Crime","Raw",547
"Orkney Islands","2008/2009","Crime","Raw",334
"Orkney Islands","2009/2010","Crime","Raw",329
"Orkney Islands","2010/2011","Crime","Raw",280
"Orkney Islands","2011/2012","Crime","Raw",270
"Orkney Islands","2012/2013","Crime","Raw",280
"Orkney Islands","2013/2014","Crime","Raw",235
"Orkney Islands","2014/2015","Crime","Raw",196
"Orkney Islands","2015/2016","Crime","Raw",211
"Orkney Islands","2016/2017","Crime","Raw",209
"Orkney Islands","2017/2018","Crime","Raw",197
"Orkney Islands","2018/2019","Crime","Raw",218
"Orkney Islands","2019/2020","Crime","Raw",206
"Orkney Islands","2020/2021","Crime","Raw",186
"Orkney Islands","2021/2022","Crime","Raw",165
"Perth and Kinross","2008/2009","Crime","Raw",576
"Perth and Kinross","2009/2010","Crime","Raw",496
"Perth and Kinross","2010/2011","Crime","Raw",469
"Perth and Kinross","2011/2012","Crime","Raw",435
"Perth and Kinross","2012/2013","Crime","Raw",428
"Perth and Kinross","2013/2014","Crime","Raw",428
"Perth and Kinross","2014/2015","Crime","Raw",413
"Perth and Kinross","2015/2016","Crime","Raw",411
"Perth and Kinross","2016/2017","Crime","Raw",366
"Perth and Kinross","2017/2018","Crime","Raw",349
"Perth and Kinross","2018/2019","Crime","Raw",336
"Perth and Kinross","2019/2020","Crime","Raw",358
"Perth and Kinross","2020/2021","Crime","Raw",390
"Perth and Kinross","2021/2022","Crime","Raw",387
"Renfrewshire","2008/2009","Crime","Raw",912
"Renfrewshire","2009/2010","Crime","Raw",825
"Renfrewshire","2010/2011","Crime","Raw",816
"Renfrewshire","2011/2012","Crime","Raw",808
"Renfrewshire","2012/2013","Crime","Raw",640
"Renfrewshire","2013/2014","Crime","Raw",639
"Renfrewshire","2014/2015","Crime","Raw",614
"Renfrewshire","2015/2016","Crime","Raw",591
"Renfrewshire","2016/2017","Crime","Raw",534
"Renfrewshire","2017/2018","Crime","Raw",554
"Renfrewshire","2018/2019","Crime","Raw",556
"Renfrewshire","2019/2020","Crime","Raw",538
"Renfrewshire","2020/2021","Crime","Raw",555
"Renfrewshire","2021/2022","Crime","Raw",492
"Scotland","2008/2009","Crime","Raw",868
"Scotland","2009/2010","Crime","Raw",784
"Scotland","2010/2011","Crime","Raw",749
"Scotland","2011/2012","Crime","Raw",724
