"CPP","Year","Indicator","Type","value"
"Argyll and Bute",2018,"Out of Work Benefits","Raw",9.27724471487636
"Argyll and Bute",2019,"Out of Work Benefits","Raw",10.024825629507
"Argyll and Bute",2020,"Out of Work Benefits","Raw",15.0264298865594
"Argyll and Bute",2021,"Out of Work Benefits","Raw",13.7504411591702
"Clackmannanshire",2013,"Out of Work Benefits","Raw",15.3843828410774
"Clackmannanshire",2014,"Out of Work Benefits","Raw",14.3432494279176
"Clackmannanshire",2015,"Out of Work Benefits","Raw",13.2586196337804
"Clackmannanshire",2016,"Out of Work Benefits","Raw",13.3834725518602
"Clackmannanshire",2017,"Out of Work Benefits","Raw",13.4126003705991
"Clackmannanshire",2018,"Out of Work Benefits","Raw",14.2235889789706
"Clackmannanshire",2019,"Out of Work Benefits","Raw",14.9472504901503
"Clackmannanshire",2020,"Out of Work Benefits","Raw",18.9741333249521
"Clackmannanshire",2021,"Out of Work Benefits","Raw",18.3784629832525
"Dumfries and Galloway",2013,"Out of Work Benefits","Raw",11.8556871021997
"Dumfries and Galloway",2014,"Out of Work Benefits","Raw",10.8423455367432
"Dumfries and Galloway",2015,"Out of Work Benefits","Raw",10.3867132165126
"Dumfries and Galloway",2016,"Out of Work Benefits","Raw",10.5259609658535
"Dumfries and Galloway",2017,"Out of Work Benefits","Raw",10.5193422721508
"Dumfries and Galloway",2018,"Out of Work Benefits","Raw",10.3969732645993
"Dumfries and Galloway",2019,"Out of Work Benefits","Raw",11.9154020241938
"Dumfries and Galloway",2020,"Out of Work Benefits","Raw",16.1286579564178
"Dumfries and Galloway",2021,"Out of Work Benefits","Raw",15.6648831445579
"Dundee City",2013,"Out of Work Benefits","Raw",16.5279813962894
"Dundee City",2014,"Out of Work Benefits","Raw",15.5026261888828
"Dundee City",2015,"Out of Work Benefits","Raw",14.6467926213041
"Dundee City",2016,"Out of Work Benefits","Raw",14.6281512178276
"Dundee City",2017,"Out of Work Benefits","Raw",14.4547939657791
"Dundee City",2018,"Out of Work Benefits","Raw",14.4966429359879
"Dundee City",2019,"Out of Work Benefits","Raw",15.3171587255189
"Dundee City",2020,"Out of Work Benefits","Raw",19.2791078909555
"Dundee City",2021,"Out of Work Benefits","Raw",19.3366266760762
"East Ayrshire",2013,"Out of Work Benefits","Raw",16.0217252396166
"East Ayrshire",2014,"Out of Work Benefits","Raw",14.5638809578928
"East Ayrshire",2015,"Out of Work Benefits","Raw",13.8550634711342
"East Ayrshire",2016,"Out of Work Benefits","Raw",13.532145824678
"East Ayrshire",2017,"Out of Work Benefits","Raw",13.5763621407774
"East Ayrshire",2018,"Out of Work Benefits","Raw",14.0780905367083
"East Ayrshire",2019,"Out of Work Benefits","Raw",15.4371422932702
"East Ayrshire",2020,"Out of Work Benefits","Raw",20.0460860007151
"East Ayrshire",2021,"Out of Work Benefits","Raw",19.730615697782
"East Dunbartonshire",2013,"Out of Work Benefits","Raw",8.01513902878247
"East Dunbartonshire",2014,"Out of Work Benefits","Raw",7.42578023951185
"East Dunbartonshire",2015,"Out of Work Benefits","Raw",7.07601981530182
"East Dunbartonshire",2016,"Out of Work Benefits","Raw",6.92537313432836
"East Dunbartonshire",2017,"Out of Work Benefits","Raw",7.0060576393563
"East Dunbartonshire",2018,"Out of Work Benefits","Raw",7.3586617260413
"East Dunbartonshire",2019,"Out of Work Benefits","Raw",7.73090819257018
"East Dunbartonshire",2020,"Out of Work Benefits","Raw",10.902552815537
"East Dunbartonshire",2021,"Out of Work Benefits","Raw",10.3021444010761
"East Lothian",2013,"Out of Work Benefits","Raw",10.0888993784911
"East Lothian",2014,"Out of Work Benefits","Raw",9.30713871336961
"East Lothian",2015,"Out of Work Benefits","Raw",8.63239875389408
"East Lothian",2016,"Out of Work Benefits","Raw",8.4184659134816
"East Lothian",2017,"Out of Work Benefits","Raw",9.1448108049836
"East Lothian",2018,"Out of Work Benefits","Raw",9.52198559828405
"East Lothian",2019,"Out of Work Benefits","Raw",9.78236037709986
"East Lothian",2020,"Out of Work Benefits","Raw",13.5788628478798
"East Lothian",2021,"Out of Work Benefits","Raw",12.9056851987502
"East Renfrewshire",2013,"Out of Work Benefits","Raw",7.88238640403897
"East Renfrewshire",2014,"Out of Work Benefits","Raw",7.24055560470672
"East Renfrewshire",2015,"Out of Work Benefits","Raw",6.74073811967022
"East Renfrewshire",2016,"Out of Work Benefits","Raw",6.4794436129941
"East Renfrewshire",2017,"Out of Work Benefits","Raw",6.58695232918982
"East Renfrewshire",2018,"Out of Work Benefits","Raw",6.52490737651665
"East Renfrewshire",2019,"Out of Work Benefits","Raw",6.7935021735687
"East Renfrewshire",2020,"Out of Work Benefits","Raw",10.0538851736788
"East Renfrewshire",2021,"Out of Work Benefits","Raw",9.44014868584854
"Edinburgh, City of",2013,"Out of Work Benefits","Raw",9.77870497517693
"Edinburgh, City of",2014,"Out of Work Benefits","Raw",8.94616869335864
"Edinburgh, City of",2015,"Out of Work Benefits","Raw",8.0885608007497
"Edinburgh, City of",2016,"Out of Work Benefits","Raw",7.81579832312722
"Edinburgh, City of",2017,"Out of Work Benefits","Raw",7.58021726381636
"Edinburgh, City of",2018,"Out of Work Benefits","Raw",7.39212961300109
"Edinburgh, City of",2019,"Out of Work Benefits","Raw",7.31771202811398
"Edinburgh, City of",2020,"Out of Work Benefits","Raw",11.1009495482929
"Edinburgh, City of",2021,"Out of Work Benefits","Raw",11.1199971613164
"Eilean Siar",2013,"Out of Work Benefits","Raw",9.95800839832034
"Eilean Siar",2014,"Out of Work Benefits","Raw",9.01759530791789
"Eilean Siar",2015,"Out of Work Benefits","Raw",8.65664253449663
"Eilean Siar",2016,"Out of Work Benefits","Raw",8.93192929672809
"Eilean Siar",2017,"Out of Work Benefits","Raw",8.72559550135844
"Eilean Siar",2018,"Out of Work Benefits","Raw",8.30516042610193
"Eilean Siar",2019,"Out of Work Benefits","Raw",8.66354119838161
"Eilean Siar",2020,"Out of Work Benefits","Raw",13.0002598752599
"Eilean Siar",2021,"Out of Work Benefits","Raw",12.2066030435904
"Falkirk",2013,"Out of Work Benefits","Raw",12.8628338169478
"Falkirk",2014,"Out of Work Benefits","Raw",11.6304283545901
"Falkirk",2015,"Out of Work Benefits","Raw",10.7850857334095
"Falkirk",2016,"Out of Work Benefits","Raw",10.7398099426687
"Falkirk",2017,"Out of Work Benefits","Raw",10.6051568870941
"Falkirk",2018,"Out of Work Benefits","Raw",10.3923450599389
"Falkirk",2019,"Out of Work Benefits","Raw",11.5372963675986
"Falkirk",2020,"Out of Work Benefits","Raw",15.58729256315
"Falkirk",2021,"Out of Work Benefits","Raw",15.3693847345154
"Fife",2013,"Out of Work Benefits","Raw",13.0442410471679
"Fife",2014,"Out of Work Benefits","Raw",11.9166921582229
"Fife",2015,"Out of Work Benefits","Raw",11.5603293083575
"Fife",2016,"Out of Work Benefits","Raw",11.1007318123117
"Fife",2017,"Out of Work Benefits","Raw",11.1964212744908
"Fife",2018,"Out of Work Benefits","Raw",11.5351934681061
"Fife",2019,"Out of Work Benefits","Raw",12.5302835662617
"Fife",2020,"Out of Work Benefits","Raw",16.4739073979009
"Fife",2021,"Out of Work Benefits","Raw",16.4918945755175
"Glasgow City",2013,"Out of Work Benefits","Raw",18.939444822921
"Glasgow City",2014,"Out of Work Benefits","Raw",17.7865207387007
"Glasgow City",2015,"Out of Work Benefits","Raw",16.6762676197082
"Glasgow City",2016,"Out of Work Benefits","Raw",15.9806189101949
"Glasgow City",2017,"Out of Work Benefits","Raw",15.5234739479027
"Glasgow City",2018,"Out of Work Benefits","Raw",15.1343149249107
"Glasgow City",2019,"Out of Work Benefits","Raw",15.3055064946679
"Glasgow City",2020,"Out of Work Benefits","Raw",20.6160088446164
"Glasgow City",2021,"Out of Work Benefits","Raw",20.6929755151623
"Highland",2013,"Out of Work Benefits","Raw",9.32944806307851
"Highland",2014,"Out of Work Benefits","Raw",8.63240844885764
"Highland",2015,"Out of Work Benefits","Raw",8.62921069501024
"Highland",2016,"Out of Work Benefits","Raw",8.66143364519562
"Highland",2017,"Out of Work Benefits","Raw",8.84663798708035
"Highland",2018,"Out of Work Benefits","Raw",9.26502506778356
