"AreaLabel","CPP","Most_Deprived_Comm","Positive Destinations_2012/13_CPPScore","Child Poverty_2014/15","Child Poverty_2019/20","Child Poverty_2019/20_Change","Crime Rate_2008/09","Crime Rate_2019/20","Crime Rate_2019/20_Change","Depopulation_2008/09","Depopulation_2019/20","Depopulation_2019/20_Change","Early Mortality_2010/11","Early Mortality_2019/20","Early Mortality_2019/20_Change","Emergency Admissions_2008/09","Emergency Admissions_2019/20","Emergency Admissions_2019/20_Change","Out of Work Benefits_2012/13","Out of Work Benefits_2019/20","Out of Work Benefits_2019/20_Change","Positive Destinations_2008/09","Positive Destinations_2012/13","Positive Destinations_2012/13_Change","Attainment_2013/14","Attainment_2019/20","Attainment_2019/20_Change","InterZone_Name"
"North Lanarkshire","North Lanarkshire","3","Slower",19.74,29.2,"Slower",1774,1892,"Slower",101.63,111.91,"Slower",646,751,"Slower",28753,39078,"Slower",23.29,22.22,"Faster",76.17,91.98,"Faster",5.41,4.92,"Slower","Cliftonville"
"Orkney Islands","Orkney Islands","3","Faster",11.35,14.02,"Faster",187,168,"Slower",94,90.62,"Slower",521,330,"Faster",24324,14385,"Faster",5.52,8,"Faster",87.5,91.7,"Faster",5.72,5.85,"Faster","Stromness, Sandwick and Stenness"
"Perth and Kinross","Perth and Kinross","3","Faster",20.32,25.57,"Faster",835,382,"Faster",88.08,79.55,"Faster",622,580,"Slower",29072,23501,"Faster",15.69,21.22,"Faster",71,88.5,"Faster",5.1,5.24,"Faster","Hillyland, Tulloch and Inveralmond"
"Renfrewshire","Renfrewshire","3","Faster",14.79,23.61,"Slower",1223,517,"Faster",102.11,100.68,"Faster",788,767,"Slower",34437,38776,"Slower",23.92,29.17,"Faster",69.4,72.2,"Slower",4.7,5.25,"Faster","Johnstone North West"
"Scottish Borders","Scottish Borders","3","Faster",22.27,28.25,"Faster",1090,671,"Faster",103.17,105.78,"Slower",564,454,"Faster",36149,34225,"Faster",11.91,19.82,"Slower",87.07,87.44,"Slower",5.07,5.41,"Faster","Galashiels West"
"Shetland Islands","Shetland Islands","3","Slower",8.33,10.45,"Faster",461,263,"Slower",91.19,86.9,"Faster",432,298,"Faster",21500,19168,"Slower",6.56,10,"Slower",99.23,94,"Slower",5.55,5.7,"Faster","Lerwick South"
"South Ayrshire","South Ayrshire","3","Faster",14.81,30.43,"Slower",791,512,"Faster",100.93,103.12,"Slower",741,498,"Faster",31289,35395,"Faster",16.1,20.47,"Faster",71.47,88.92,"Faster",5.59,5.44,"Slower","Craigie"
"South Lanarkshire","South Lanarkshire","3","Faster",24.29,30.97,"Slower",1082,762,"Slower",106.77,111.65,"Slower",758,666,"Slower",38971,31242,"Faster",21.48,28.1,"Slower",71.9,80.6,"Faster",4.93,5.01,"Slower","Burnhill and Bankhead North"
"Stirling","Stirling","3","Faster",25.71,23.66,"Faster",756,404,"Faster",91.53,87.35,"Slower",602,562,"Slower",26335,28382,"Slower",14.48,19.83,"Slower",71.2,79.4,"Faster",5.06,5.28,"Faster","Cowie"
"West Dunbartonshire","West Dunbartonshire","3","Slower",19.65,34.15,"Slower",1098,379,"Faster",96.56,101.95,"Slower",782,635,"Faster",28254,27687,"Faster",20.87,27.46,"Slower",87.1,78.22,"Slower",5.06,5.27,"Faster","Clydebank East"
